title,url,description,author,scraped_at,source
"People Who Drink Bottled Water on a Daily Basis Ingest 90,000 More Microplastic Particles Each Year",https://www.wired.com/story/people-who-drink-bottled-water-on-a-daily-basis-ingest-90000-more-microplastics-per-year/,-,By Ritsuko Kawai,2026-04-21T09:07:30.433149,Wired.com
"Behold the Manifold, the Concept that Changed How Mathematicians View Space",https://www.wired.com/story/behold-the-manifold-the-concept-that-changed-how-mathematicians-view-space/,-,By Paulina Rowińska,2026-04-21T09:07:30.536952,Wired.com
The Environmental and Human Rights Costs of China’s Clean Energy Investments Abroad,https://www.wired.com/story/chinas-clean-energy-investments-abroad-are-a-boon-for-climate-but-human-rights-and-the-environment-are-a-different-story/,-,By Nicholas Kusnetz,2026-04-21T09:07:30.676791,Wired.com
Could You Use a Rowboat to Walk on the Seafloor Like Jack Sparrow?,https://www.wired.com/story/using-a-rowboat-to-walk-on-the-seafloor-like-jack-sparrow/,-,By Rhett Allain,2026-04-21T09:07:30.863701,Wired.com
‘Wolf DNA’ Lurks in Many Modern Dog Breeds,https://www.wired.com/story/wolf-dna-lurks-in-many-modern-dog-breeds/,-,By Ritsuko Kawai,2026-04-21T09:07:31.034635,Wired.com
"AlphaFold Changed Science. After 5 Years, It’s Still Evolving",https://www.wired.com/story/alphafold-changed-science-after-5-years-its-still-evolving/,-,By Sandro Iannaccone,2026-04-21T09:07:31.246165,Wired.com
Data Holds the Key in Slowing Age-Related Illnesses,https://www.wired.com/story/data-holds-the-key-in-slowing-age-related-illnesses/,-,By Eric Topol,2026-04-21T09:07:31.392498,Wired.com
FDA Approves Pill Version of Wegovy,https://www.wired.com/story/fda-approves-pill-version-of-wegovy/,-,By Emily Mullin,2026-04-21T09:07:31.535599,Wired.com
The Doomsday Glacier Is Getting Closer and Closer to Irreversible Collapse,https://www.wired.com/story/the-doomsday-glacier-is-getting-closer-and-closer-to-irreversible-collapse/,-,By Ritsuko Kawai,2026-04-21T09:07:31.751013,Wired.com
Research Reveals the Optimal Way to Optimize,https://www.wired.com/story/researchers-discover-the-optimal-way-to-optimize/,-,By Steve Nadis,2026-04-21T09:07:31.993339,Wired.com
Trump’s Agriculture Bailout Is Alienating His MAHA Base,https://www.wired.com/story/trumps-agriculture-bailout-is-alienating-his-maha-base/,-,By Ayurella Horn-Muller,2026-04-21T09:07:32.766370,Wired.com
"Sam Altman’s New Brain Venture, Merge Labs, Will Spin Out of a Nonprofit",https://www.wired.com/story/sam-altman-brain-computer-interface-merge-labs-spin-out-nonprofit-forest-neurotech/,-,By Emily Mullin,2026-04-21T09:07:32.894126,Wired.com
Americans Are Increasingly Convinced That Aliens Have Visited Earth,https://www.wired.com/story/americans-are-increasingly-convinced-that-aliens-have-visited-earth/,-,By Becky Ferreira,2026-04-21T09:07:33.014381,Wired.com
Pumped Hydro Energy Storage Is Having a Renaissance,https://www.wired.com/story/pumped-hydro-energy-storage-is-having-a-renaissance/,-,By Chris Baraniuk,2026-04-21T09:07:33.178365,Wired.com
How to Watch the Ursids Meteor Shower—the Last of the Year,https://www.wired.com/story/how-to-watch-the-ursids-meteor-shower/,-,By Gretchen Rundorff,2026-04-21T09:07:33.323002,Wired.com
Former Neuralink Exec Launches Organ Preservation Effort,https://www.wired.com/story/a-brain-computer-interface-company-is-getting-into-organ-preservation/,-,By Emily Mullin,2026-04-21T09:07:33.442848,Wired.com
New Head of Trump’s Cancer Panel Speculated About Links Between Vaccines and Cancer,https://www.wired.com/story/risch-trump-panel-vaccines-turbo-cancer-ivermectin-hcq/,-,By David Gilbert,2026-04-21T09:07:33.586500,Wired.com
Radiation-Detection Systems Are Quietly Running in the Background All Around You,https://www.wired.com/story/radiation-detection-systems-are-quietly-running-in-the-background-all-around-you/,-,By Chris Baraniuk,2026-04-21T09:07:54.136104,Wired.com
How Do Astronomers Find Planets in Other Solar Systems?,https://www.wired.com/story/how-do-astronomers-find-planets-in-other-solar-systems/,-,By Rhett Allain,2026-04-21T09:07:54.322381,Wired.com
"For the First Time, AI Analyzes Language as Well as a Human Expert",https://www.wired.com/story/in-a-first-ai-models-analyze-language-as-well-as-a-human-expert/,-,By Steve Nadis,2026-04-21T09:07:55.158895,Wired.com
Google Data Centers Are Returning Nuclear Power to Tornado Country,https://www.wired.com/story/google-data-centers-will-bring-nuclear-power-back-to-tornado-country/,-,By Anika Jane Beamer,2026-04-21T09:07:55.274474,Wired.com
People Are Already Taking This Unapproved New Weight-Loss Drug,https://www.wired.com/story/people-are-already-taking-this-unapproved-new-weight-loss-drug-triple-g-retatrutide/,-,By John Semley,2026-04-21T09:07:55.426970,Wired.com
RFK Jr.’s Health Department Is Pondering a National Men’s Health Initiative,https://www.wired.com/story/rfk-jrs-health-department-is-pondering-a-national-mens-health-initiative/,-,By Emily Mullin,2026-04-21T09:07:55.557265,Wired.com
How the Next Big Thing in Carbon Removal Sank Without a Trace,https://www.wired.com/story/how-the-next-big-thing-in-carbon-removal-sunk-without-a-trace/,-,By Alexandra Talty,2026-04-21T09:07:55.690468,Wired.com
Many States Say They’ll Defy RFK Jr.’s Changes to Hepatitis B Vaccination,https://www.wired.com/story/many-states-say-theyll-defy-rfk-jrs-changes-to-hepatitis-b-vaccination/,-,By Emily Mullin,2026-04-21T09:07:55.832015,Wired.com
‘It Was Nuts’: The Extreme Tests that Show Why Hail Is a Multibillion-Dollar Problem,https://www.wired.com/story/it-was-nuts-the-extreme-tests-that-show-why-hail-is-a-multi-billion-dollar-problem/,-,By Chris Baraniuk,2026-04-21T09:07:56.000035,Wired.com
Scientists Thought Parkinson’s Was in Our Genes. It Might Be in the Water,https://www.wired.com/story/scientists-thought-parkinsons-was-in-our-genes-it-might-be-in-the-water/,-,By David Ferry,2026-04-21T09:07:56.144303,Wired.com
"For the First Time, Mutations in a Single Gene Have Been Linked to Mental Illness",https://www.wired.com/story/mutations-in-a-single-gene-have-been-linked-to-mental-illness/,-,By Jorge Garay,2026-04-21T09:07:56.289768,Wired.com
The Longest Solar Eclipse for 100 Years Is Coming. Don’t Miss It,https://www.wired.com/story/the-longest-solar-eclipse-for-100-years-is-coming-dont-miss-it/,-,By Jorge Garay,2026-04-21T09:07:56.552144,Wired.com
This AI Model Can Intuit How the Physical World Works,https://www.wired.com/story/how-one-ai-model-creates-a-physical-intuition-of-its-environment/,-,By Anil Ananthaswamy,2026-04-21T09:07:56.671461,Wired.com
Why Tehran Is Running Out of Water,https://www.wired.com/story/why-tehran-is-running-out-of-water-iran-climate-change-drought-extreme-weather/,-,By Yeon-Woo Choi And Elfatih A. B. Eltahir,2026-04-21T09:07:56.796859,Wired.com
Watch the Highlights From WIRED’s Big Interview Event Right Here,https://www.wired.com/story/the-big-interview-2025-recap/,-,By Wired Staff,2026-04-21T09:07:56.927989,Wired.com
Can AI Look at Your Retina and Diagnose Alzheimer’s? Eric Topol Hopes So,https://www.wired.com/story/big-interview-event-eric-topol-super-agers/,-,By Marah Eakin,2026-04-21T09:07:57.107299,Wired.com
A Startup Says It Has Found a Hidden Source of Geothermal Energy,https://www.wired.com/story/startup-found-hidden-source-geothermal-energy/,-,By Molly Taft,2026-04-21T09:07:57.227518,Wired.com
The Louisiana Department of Wildlife and Fisheries Is Detaining People for ICE,https://www.wired.com/story/story/the-louisiana-department-of-wildlife-and-fisheries-is-detaining-people-for-ice/,-,By Caroline Haskins,2026-04-21T09:07:57.396349,Wired.com
Thursday's Cold Moon Is the Last Supermoon of the Year. Here's How and When to View It,https://www.wired.com/story/cold-moon-supermoon-december-how-to-view/,-,By Marta Musso,2026-04-21T09:07:58.233457,Wired.com
A Fentanyl Vaccine Is About to Get Its First Major Test,https://www.wired.com/story/a-fentanyl-vaccine-is-about-to-get-its-first-major-test/,-,By Emily Mullin,2026-04-21T09:07:58.395497,Wired.com
The Oceans Are Going to Rise—but When?,https://www.wired.com/story/the-oceans-are-going-to-rise-but-when/,-,By Evan Howell,2026-04-21T09:08:23.128240,Wired.com
How to Measure the Earth’s Radius With Legos,https://www.wired.com/story/how-to-measure-the-earths-radius-with-legos/,-,By Rhett Allain,2026-04-21T09:08:23.260231,Wired.com
The Trump Administration’s Data Center Push Could Open the Door for New Forever Chemicals,https://www.wired.com/story/the-trump-administrations-data-center-push-could-open-the-door-for-new-forever-chemicals/,-,By Molly Taft,2026-04-21T09:08:23.381623,Wired.com
Boeing's Next Starliner Flight Will Be Allowed to Carry Only Cargo,https://www.wired.com/story/boeings-next-starliner-flight-will-only-be-allowed-to-carry-cargo/,-,"By Eric Berger, Ars Technica",2026-04-21T09:08:23.500922,Wired.com
Game Theory Explains How Algorithms Can Drive Up Prices,https://www.wired.com/story/game-theory-explains-how-algorithms-can-drive-up-prices/,-,By Ben Brubaker,2026-04-21T09:08:23.621350,Wired.com
The Climate Impact of Owning a Dog,https://www.wired.com/story/the-climate-paradox-of-having-a-dog/,-,By Claire Elise Thompson,2026-04-21T09:08:23.742518,Wired.com
Paradromics Gets FDA Approval to Trial Its Brain Implant in People,https://www.wired.com/story/paradromics-gets-fda-approval-to-trial-its-brain-implant-in-people/,-,By Emily Mullin,2026-04-21T09:08:23.870354,Wired.com
The Pelvic Floor Is a Problem,https://www.wired.com/story/the-pelvic-floor-is-a-problem/,-,By Casey Johnston,2026-04-21T09:08:23.986573,Wired.com
NASA Finally Weighs In on the Origin of 3I/ATLAS,https://www.wired.com/story/nasa-confirms-that-3i-atlas-is-an-interstellar-comet/,-,By Jorge Garay,2026-04-21T09:08:24.102698,Wired.com
Vaping Is ‘Everywhere’ in Schools—Sparking a Bathroom Surveillance Boom,https://www.wired.com/story/vaping-surveillance-school-bathrooms/,-,By Mark Keierleber,2026-04-21T09:08:24.251002,Wired.com
Valar Atomics Says It’s the First Nuclear Startup to Achieve Criticality,https://www.wired.com/story/valar-atomics-says-its-the-first-nuclear-startup-to-achieve-criticality/,-,By Molly Taft,2026-04-21T09:08:24.387625,Wired.com
A Collision With Space Debris Leaves 3 Chinese Astronauts Stranded in Orbit,https://www.wired.com/story/three-astronauts-are-stuck-on-chinas-space-station-without-a-safe-ride-home/,-,"By Stephen Clark, Ars Technica",2026-04-21T09:08:24.518465,Wired.com
How Genes Have Harnessed Physics to Grow Living Things,https://www.wired.com/story/how-genes-have-harnessed-physics-to-grow-living-things/,-,By Anna Demming,2026-04-21T09:08:24.667519,Wired.com
An Invasive Disease-Carrying Mosquito Has Spread to the Rocky Mountains,https://www.wired.com/story/a-disease-carrying-mosquito-has-landed-in-the-rocky-mountains-where-it-historically-couldnt-survive/,-,By Erin Douglas,2026-04-21T09:08:24.818747,Wired.com
The Data Center Resistance Has Arrived,https://www.wired.com/story/the-data-center-resistance-has-arrived/,-,By Molly Taft,2026-04-21T09:08:24.940242,Wired.com
Weight-Loss Drug Zepbound Is Being Tested as a Treatment for Long Covid,https://www.wired.com/story/weight-loss-drug-zepbound-is-being-tested-as-a-treatment-for-long-covid/,-,By Emily Mullin,2026-04-21T09:08:25.743241,Wired.com
Can a Hydroelectric Dam Really Make the Days Longer?,https://www.wired.com/story/can-a-hydroelectric-dam-really-make-the-days-longer/,-,By Rhett Allain,2026-04-21T09:08:25.855848,Wired.com
British Churches Are Putting Their Faith in Heat Pumps,https://www.wired.com/story/let-there-be-warmth-the-british-churches-putting-their-faith-in-heat-pumps/,-,By Chris Baraniuk,2026-04-21T09:08:26.004962,Wired.com
The Physics of the Northern Lights,https://www.wired.com/story/the-physics-of-the-northern-lights-aurora-borealis/,-,By Rhett Allain,2026-04-21T09:08:26.114649,Wired.com
"If the US Has to Build Data Centers, Here’s Where They Should Go",https://www.wired.com/story/heres-where-to-build-data-centers-to-keep-emissions-down/,-,By Molly Taft,2026-04-21T09:08:26.226417,Wired.com
The First Radio Signal From Comet 3I/Atlas Ends the Debate About Its Nature,https://www.wired.com/story/the-first-radio-signal-from-comet-3i-atlas-ends-debate-about-its-nature/,-,By Javier Carbajal,2026-04-21T09:09:07.911275,Wired.com
The Mysterious Math Behind the Brazilian Butt Lift,https://www.wired.com/story/book-excerpt-replaceable-you-mary-roach-butt-implants/,-,By Mary Roach,2026-04-21T09:09:08.066766,Wired.com
The Hidden Math of Ocean Waves,https://www.wired.com/story/the-hidden-math-of-ocean-waves-crashes-into-view/,-,By Joseph Howlett,2026-04-21T09:09:08.199856,Wired.com
A Gene-Editing Therapy Cut Cholesterol Levels by Half,https://www.wired.com/story/a-gene-editing-therapy-cut-cholesterol-levels-by-half/,-,By Emily Mullin,2026-04-21T09:09:08.342491,Wired.com
Trump’s Hatred of EVs Is Making Gas Cars More Expensive,https://www.wired.com/story/trumps-anti-climate-agenda-is-making-it-more-expensive-to-own-a-car/,-,By Umair Irfan,2026-04-21T09:09:08.476721,Wired.com
Unpicking How to Measure the Complexity of Knots,https://www.wired.com/story/unpicking-how-to-measure-the-complexity-of-knots/,-,By Leila Sloman,2026-04-21T09:09:08.636267,Wired.com
How to Follow the Trajectory of Comet 3I/Atlas,https://www.wired.com/story/how-to-follow-the-trajectory-of-comet-3i-atlas/,-,By Jorge Garay,2026-04-21T09:09:08.866876,Wired.com
Blood Tests for Alzheimer’s Are Here,https://www.wired.com/story/blood-tests-for-alzheimers-have-arrived-but-how-effective-are-they-and-can-they-really-change-patients-lives/,-,By Simone Valesini,2026-04-21T09:09:09.078044,Wired.com
"A New Type of Opioid Is Killing People in the US, Europe, and Australia",https://www.wired.com/story/a-new-type-of-opioid-is-killing-people-in-the-us-europe-and-australia/,-,By Simone Valesini,2026-04-21T09:09:09.220765,Wired.com
A New Light-Based Cancer Treatment Kills Tumor Cells and Spares Healthy Ones,https://www.wired.com/story/a-new-light-based-cancer-treatment-kills-tumor-cells-and-spares-healthy-ones/,-,By Javier Carbajal,2026-04-21T09:09:09.356414,Wired.com
Physicists Create a Thermometer for Measuring ‘Quantumness’,https://www.wired.com/story/physicists-create-a-thermometer-for-measuring-quantumness/,-,By Philip Ball,2026-04-21T09:09:09.697818,Wired.com
"Climate Change Made Hurricane Melissa 4 Times More Likely, Study Suggests",https://www.wired.com/story/climate-change-made-hurricane-melissa-four-times-more-likely-study-suggests/,-,By Kiley Price,2026-04-21T09:09:10.262301,Wired.com
The ‘10 Martini’ Proof Connects Quantum Mechanics With Infinitely Intricate Mathematical Structures,https://www.wired.com/story/the-10-martini-proof-connects-quantum-mechanics-with-infinitely-intricate-mathematical-structures/,-,By Lyndie Chiou And Joseph Howlett,2026-04-21T09:09:10.405368,Wired.com
How Do Metal Detectors Work?,https://www.wired.com/story/how-do-metal-detectors-work/,-,By Rhett Allain,2026-04-21T09:09:10.542642,Wired.com
A New Startup Wants to Edit Human Embryos,https://www.wired.com/story/startup-edit-human-embryos-manhattan-genomics-cathy-tie/,-,By Emily Mullin,2026-04-21T09:09:10.669667,Wired.com
NASA’s Quiet Supersonic Jet Takes Flight,https://www.wired.com/story/nasas-quiet-supersonic-jet-takes-flight/,-,By Jay Bennett,2026-04-21T09:09:10.777720,Wired.com
A Fight Over Big Tech’s Emissions Has the Greenhouse Gas Protocol Caught in the Crossfire,https://www.wired.com/story/greenhouse-gas-protocol-caught-in-big-techs-friendly-fire/,-,By Isabel O’Brien,2026-04-21T09:09:10.909330,Wired.com
